CustomerID,Churn,Tenure,TenureCohort,RiskLevel,DaySinceLastOrder,OrderCount,CashbackAmount,SatisfactionScore,Complain,CityTier,Gender
50001,1,4.0,Growing (4-6m),MEDIUM RISK,5.0,1.0,159.93,2,1,3,Female
50002,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,120.9,3,1,1,Male
50003,1,9.0,Established (7-12m),STANDARD RISK,3.0,1.0,120.28,3,1,1,Male
50004,1,0.0,New (0-3m),STANDARD RISK,3.0,1.0,134.07,5,0,3,Male
50005,1,0.0,New (0-3m),STANDARD RISK,3.0,1.0,129.6,5,0,1,Male
50006,1,0.0,New (0-3m),STANDARD RISK,7.0,6.0,139.19,5,1,1,Female
50007,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,120.86,2,0,3,Male
50008,1,9.0,Established (7-12m),STANDARD RISK,0.0,2.0,122.93,2,1,1,Male
50009,1,13.0,Mature (13-24m),STANDARD RISK,2.0,1.0,126.83,3,1,3,Male
50010,1,9.0,Established (7-12m),STANDARD RISK,1.0,1.0,122.93,3,0,1,Male
50011,1,4.0,Growing (4-6m),STANDARD RISK,8.0,15.0,295.45,3,0,1,Female
50012,1,11.0,Established (7-12m),STANDARD RISK,0.0,1.0,153.81,3,1,1,Male
50013,1,0.0,New (0-3m),STANDARD RISK,2.0,2.0,134.41,3,1,1,Male
50014,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,133.88,3,1,1,Male
50015,1,9.0,Established (7-12m),STANDARD RISK,7.0,4.0,196.19,2,0,3,Male
50016,1,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,120.73,5,1,2,Male
50017,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,129.26,2,1,1,Female
50018,1,0.0,New (0-3m),STANDARD RISK,3.0,1.0,157.44,3,1,3,Male
50019,1,0.0,New (0-3m),STANDARD RISK,6.0,1.0,160.74,3,1,1,Male
50020,1,19.0,Mature (13-24m),STANDARD RISK,3.0,4.0,149.63,4,1,1,Female
50021,1,0.0,New (0-3m),STANDARD RISK,7.0,7.0,161.72,3,1,3,Male
50022,1,20.0,Mature (13-24m),STANDARD RISK,6.0,15.0,203.12,2,0,1,Female
50023,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,116.75,3,1,3,Male
50024,1,0.0,New (0-3m),STANDARD RISK,2.0,2.0,145.59,3,1,3,Female
50025,1,14.0,Mature (13-24m),STANDARD RISK,3.0,1.0,206.5,2,0,1,Male
50026,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,142.0,5,0,1,Female
50027,0,8.0,Established (7-12m),STANDARD RISK,6.0,1.0,172.95,4,0,3,Male
50028,0,9.0,Established (7-12m),STANDARD RISK,5.0,4.0,123.06,3,1,3,Male
50029,0,18.0,Mature (13-24m),LOW RISK,15.0,1.0,123.48,4,0,1,Male
50030,0,5.0,Growing (4-6m),MEDIUM RISK,7.0,3.0,189.98,2,0,3,Female
50031,0,2.0,New (0-3m),STANDARD RISK,9.0,1.0,143.19,3,0,1,Male
50032,0,0.0,New (0-3m),STANDARD RISK,0.0,1.0,161.32,3,0,1,Male
50033,0,30.0,Loyal (25m+),STANDARD RISK,0.0,1.0,133.46,4,1,1,Female
50034,0,13.0,Mature (13-24m),STANDARD RISK,11.0,2.0,208.55,2,0,3,Male
50035,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.31,3,0,3,Female
50036,0,0.0,New (0-3m),STANDARD RISK,2.0,2.0,123.23,2,0,1,Male
50037,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,120.24,4,0,1,Male
50038,0,1.0,New (0-3m),STANDARD RISK,2.0,1.0,127.13,2,0,1,Male
50039,0,30.0,Loyal (25m+),STANDARD RISK,4.0,1.0,194.39,2,1,1,Male
50040,0,0.0,New (0-3m),STANDARD RISK,1.0,1.0,125.66,3,1,1,Male
50041,0,23.0,Mature (13-24m),LOW RISK,4.0,4.0,299.26,4,0,1,Female
50042,0,14.0,Mature (13-24m),STANDARD RISK,8.0,1.0,124.51,3,0,1,Male
50043,0,3.0,New (0-3m),STANDARD RISK,4.0,7.0,194.19,2,0,3,Female
50044,0,11.0,Established (7-12m),STANDARD RISK,1.0,1.0,186.86,2,0,3,Female
50045,0,5.0,Growing (4-6m),STANDARD RISK,4.0,1.0,130.38,3,0,1,Male
50046,0,0.0,New (0-3m),STANDARD RISK,1.0,1.0,130.58,4,1,1,Male
50047,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,123.25,5,0,3,Female
50048,0,9.0,Established (7-12m),STANDARD RISK,2.0,7.0,120.88,4,0,1,Male
50049,0,3.0,New (0-3m),STANDARD RISK,10.0,6.0,130.72,5,0,1,Male
50050,0,18.0,Mature (13-24m),STANDARD RISK,3.0,1.0,150.06,5,1,3,Female
50051,0,29.0,Loyal (25m+),STANDARD RISK,2.0,2.0,142.57,5,1,1,Female
50052,0,6.0,Growing (4-6m),MEDIUM RISK,2.0,1.0,125.0,2,0,1,Male
50053,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,111.02,2,0,1,Male
50054,0,19.0,Mature (13-24m),LOW RISK,7.0,15.0,204.53,5,0,3,Female
50055,0,9.0,Established (7-12m),STANDARD RISK,1.0,2.0,122.88,2,0,1,Female
50056,0,4.0,Growing (4-6m),MEDIUM RISK,2.0,1.0,139.29,2,1,1,Female
50057,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,123.11,4,0,1,Female
50058,1,4.0,Growing (4-6m),STANDARD RISK,2.0,1.0,131.4,4,1,3,Female
50059,0,23.0,Mature (13-24m),STANDARD RISK,2.0,1.0,136.9,3,0,1,Male
50060,0,26.0,Loyal (25m+),LOW RISK,3.0,1.0,144.5,5,0,1,Female
50061,0,6.0,Growing (4-6m),STANDARD RISK,6.0,1.0,127.56,4,0,1,Female
50062,0,13.0,Mature (13-24m),STANDARD RISK,9.0,9.0,290.33,3,0,1,Female
50063,0,28.0,Loyal (25m+),LOW RISK,15.0,2.0,287.22,4,0,1,Male
50064,0,7.0,Established (7-12m),STANDARD RISK,9.0,1.0,195.47,3,0,1,Male
50065,0,24.0,Mature (13-24m),LOW RISK,0.0,2.0,237.34,4,0,1,Female
50066,0,25.0,Loyal (25m+),STANDARD RISK,9.0,11.0,299.99,3,0,1,Male
50067,0,9.0,Established (7-12m),STANDARD RISK,3.0,1.0,122.79,4,0,1,Female
50068,1,0.0,New (0-3m),STANDARD RISK,1.0,1.0,159.16,3,1,1,Male
50069,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,120.89,2,0,1,Male
50070,0,18.0,Mature (13-24m),STANDARD RISK,8.0,11.0,267.92,2,0,1,Male
50071,0,10.0,Established (7-12m),STANDARD RISK,7.0,1.0,135.64,5,1,1,Male
50072,0,8.0,Established (7-12m),STANDARD RISK,2.0,1.0,144.25,4,0,1,Female
50073,0,15.0,Mature (13-24m),STANDARD RISK,2.0,1.0,152.65,3,0,1,Female
50074,0,11.0,Established (7-12m),STANDARD RISK,0.0,1.0,165.53,3,0,1,Male
50075,0,11.0,Established (7-12m),STANDARD RISK,7.0,1.0,162.61,2,0,1,Male
50076,0,0.0,New (0-3m),STANDARD RISK,0.0,2.0,142.98,5,0,1,Male
50077,0,22.0,Mature (13-24m),STANDARD RISK,7.0,1.0,168.04,2,1,1,Male
50078,0,7.0,Established (7-12m),STANDARD RISK,0.0,2.0,138.15,3,1,1,Male
50079,0,13.0,Mature (13-24m),STANDARD RISK,7.0,3.0,127.41,2,1,1,Male
50080,1,1.0,New (0-3m),STANDARD RISK,0.0,1.0,166.73,5,1,1,Male
50081,1,0.0,New (0-3m),STANDARD RISK,9.0,1.0,176.39,2,0,3,Female
50082,0,0.0,New (0-3m),STANDARD RISK,2.0,2.0,123.28,4,1,1,Male
50083,0,9.0,Established (7-12m),STANDARD RISK,7.0,1.0,121.53,2,0,1,Female
50084,0,13.0,Mature (13-24m),STANDARD RISK,2.0,1.0,148.76,2,0,1,Male
50085,0,19.0,Mature (13-24m),LOW RISK,3.0,1.0,193.96,5,0,1,Male
50086,1,0.0,New (0-3m),STANDARD RISK,8.0,9.0,204.0,2,0,3,Male
50087,0,3.0,New (0-3m),STANDARD RISK,8.0,5.0,184.74,3,0,1,Male
50088,0,0.0,New (0-3m),STANDARD RISK,7.0,1.0,199.81,3,0,3,Female
50089,0,24.0,Mature (13-24m),LOW RISK,3.0,4.0,224.9,4,0,1,Male
50090,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,126.57,5,1,1,Female
50091,0,14.0,Mature (13-24m),STANDARD RISK,0.0,2.0,235.91000000000005,2,1,3,Female
50092,1,0.0,New (0-3m),STANDARD RISK,1.0,1.0,166.96,5,0,3,Female
50093,1,9.0,Established (7-12m),STANDARD RISK,5.0,1.0,120.58,3,0,1,Male
50094,0,18.0,Mature (13-24m),STANDARD RISK,8.0,12.0,188.65,2,0,3,Female
50095,0,27.0,Loyal (25m+),LOW RISK,5.0,1.0,159.4,5,0,3,Female
50096,0,9.0,Established (7-12m),STANDARD RISK,7.0,3.0,159.14,4,0,1,Male
50097,0,6.0,Growing (4-6m),STANDARD RISK,1.0,1.0,126.22,4,0,1,Female
50098,0,10.0,Established (7-12m),STANDARD RISK,3.0,1.0,221.85,2,1,1,Male
50099,0,11.0,Established (7-12m),STANDARD RISK,13.0,5.0,206.09,3,0,3,Male
50100,0,4.0,Growing (4-6m),STANDARD RISK,4.0,1.0,143.45,3,0,1,Male
50101,0,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,121.77,2,0,1,Male
50102,0,10.0,Established (7-12m),STANDARD RISK,8.0,5.0,0.0,2,0,3,Male
50103,0,2.0,New (0-3m),STANDARD RISK,1.0,4.0,179.18,2,0,3,Female
50104,0,8.0,Established (7-12m),STANDARD RISK,8.0,1.0,187.89,3,0,3,Female
50105,1,0.0,New (0-3m),CRITICAL RISK,1.0,1.0,123.89,2,1,1,Male
50106,0,25.0,Loyal (25m+),STANDARD RISK,2.0,2.0,132.12,2,0,1,Female
50107,0,15.0,Mature (13-24m),STANDARD RISK,15.0,11.0,292.32,2,0,1,Male
50108,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,122.67,3,0,2,Male
50109,0,23.0,Mature (13-24m),STANDARD RISK,6.0,1.0,295.17,2,0,3,Female
50110,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,124.36,2,1,1,Male
50111,0,16.0,Mature (13-24m),STANDARD RISK,9.0,2.0,260.64,2,1,3,Female
50112,1,0.0,New (0-3m),STANDARD RISK,7.0,1.0,127.07,5,0,1,Female
50113,0,25.0,Loyal (25m+),STANDARD RISK,12.0,15.0,290.68,3,1,3,Male
50114,0,5.0,Growing (4-6m),STANDARD RISK,2.0,1.0,139.31,4,0,3,Female
50115,1,0.0,New (0-3m),STANDARD RISK,2.0,1.0,137.3,3,1,1,Male
50116,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.32,3,0,1,Female
50117,0,5.0,Growing (4-6m),MEDIUM RISK,2.0,2.0,144.65,2,0,3,Male
50118,0,14.0,Mature (13-24m),LOW RISK,0.0,1.0,130.72,5,0,1,Male
50119,0,13.0,Mature (13-24m),STANDARD RISK,7.0,4.0,133.19,2,0,1,Male
50120,0,18.0,Mature (13-24m),STANDARD RISK,7.0,1.0,292.02,2,0,1,Male
50121,0,4.0,Growing (4-6m),STANDARD RISK,2.0,2.0,236.75,3,0,1,Male
50122,0,6.0,Growing (4-6m),MEDIUM RISK,2.0,1.0,129.11,2,0,1,Female
50123,0,7.0,Established (7-12m),STANDARD RISK,9.0,5.0,159.57,5,0,1,Male
50124,0,10.0,Established (7-12m),STANDARD RISK,2.0,1.0,139.2,5,0,1,Female
50125,0,18.0,Mature (13-24m),STANDARD RISK,2.0,1.0,164.34,3,0,1,Male
50126,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,200.48,3,0,1,Male
50127,0,12.0,Established (7-12m),STANDARD RISK,3.0,11.0,209.38,3,0,1,Female
50128,0,2.0,New (0-3m),STANDARD RISK,5.0,1.0,123.4,2,0,1,Male
50129,0,15.0,Mature (13-24m),STANDARD RISK,2.0,1.0,165.45,5,1,1,Female
50130,0,2.0,New (0-3m),STANDARD RISK,2.0,1.0,169.31,2,0,3,Male
50131,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,148.98,3,0,1,Female
50132,0,15.0,Mature (13-24m),STANDARD RISK,8.0,7.0,125.93,5,1,1,Female
50133,0,13.0,Mature (13-24m),STANDARD RISK,9.0,3.0,294.36,3,0,1,Male
50134,0,24.0,Mature (13-24m),STANDARD RISK,0.0,1.0,127.23,2,0,1,Male
50135,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,134.79,4,0,1,Male
50136,0,5.0,Growing (4-6m),STANDARD RISK,3.0,1.0,127.94,4,0,1,Male
50137,0,11.0,Established (7-12m),STANDARD RISK,5.0,7.0,152.49,2,0,3,Male
50138,0,9.0,Established (7-12m),STANDARD RISK,4.0,1.0,121.76,5,0,1,Male
50139,0,19.0,Mature (13-24m),STANDARD RISK,7.0,7.0,268.72,4,1,3,Female
