CustomerID,Churn,Tenure,TenureCohort,RiskLevel,DaySinceLastOrder,OrderCount,CashbackAmount,SatisfactionScore,Complain,CityTier,Gender,R_Score,F_Score,M_Score,RFM_Score,RFMSegment
50001,1,4.0,Growing (4-6m),MEDIUM RISK,5.0,1.0,159.93,2,1,3,Female,2,1,3,6,Lost Customers
50002,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,120.9,3,1,1,Male,5,1,1,7,At Risk
50003,1,9.0,Established (7-12m),STANDARD RISK,3.0,1.0,120.28,3,1,1,Male,4,1,1,6,Lost Customers
50004,1,0.0,New (0-3m),STANDARD RISK,3.0,1.0,134.07,5,0,3,Male,4,1,1,6,Lost Customers
50005,1,0.0,New (0-3m),STANDARD RISK,3.0,1.0,129.6,5,0,1,Male,4,1,1,6,Lost Customers
50006,1,0.0,New (0-3m),STANDARD RISK,7.0,6.0,139.19,5,1,1,Female,2,5,1,8,At Risk
50007,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,120.86,2,0,3,Male,5,1,1,7,At Risk
50008,1,9.0,Established (7-12m),STANDARD RISK,0.0,2.0,122.93,2,1,1,Male,5,2,1,8,At Risk
50009,1,13.0,Mature (13-24m),STANDARD RISK,2.0,1.0,126.83,3,1,3,Male,5,1,1,7,At Risk
50010,1,9.0,Established (7-12m),STANDARD RISK,1.0,1.0,122.93,3,0,1,Male,5,1,1,7,At Risk
50011,1,4.0,Growing (4-6m),STANDARD RISK,8.0,15.0,295.45,3,0,1,Female,2,5,5,12,Potential Loyalists
50012,1,11.0,Established (7-12m),STANDARD RISK,0.0,1.0,153.81,3,1,1,Male,5,1,3,9,At Risk
50013,1,0.0,New (0-3m),STANDARD RISK,2.0,2.0,134.41,3,1,1,Male,5,2,1,8,At Risk
50014,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,133.88,3,1,1,Male,5,1,1,7,At Risk
50015,1,9.0,Established (7-12m),STANDARD RISK,7.0,4.0,196.19,2,0,3,Male,2,4,4,10,Potential Loyalists
50016,1,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,120.73,5,1,2,Male,5,1,1,7,At Risk
50017,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,129.26,2,1,1,Female,5,1,1,7,At Risk
50018,1,0.0,New (0-3m),STANDARD RISK,3.0,1.0,157.44,3,1,3,Male,4,1,3,8,At Risk
50019,1,0.0,New (0-3m),STANDARD RISK,6.0,1.0,160.74,3,1,1,Male,2,1,3,6,Lost Customers
